movie_id,collection_id
157,151
168,151
364,120794
11967,9329
9086,9329
621,86083
9037,86083
8845,112399
578,2366
579,2366
17692,2366
4232,2602
34314,16638
9404,269098
14908,39356
11419,10869
10003,86224
11844,20795
6499,286162
9360,105995
816,1006
49478,17441
1811,259398
330,328
33660,33148
1639,43064
415,120794
17991,18292
607,86055
9387,43055
10603,12622
20737,97445
18519,9328
4961,10721
1669,192492
9437,14268
10351,13549
3597,3601
1281,103372
563,10522
9823,9818
8078,8091
42832,37248
9714,9888
4233,2602
714,645
9922,351886
32302,71458
9033,9068
11568,11264
11808,13401
617,33059
17644,3504
27472,22197
10216,9887
9771,97771
37410,37845
10674,87236
846,19387
3050,3169
944,945
1051,155474
1366,1575
10014,8581
10072,8581
10131,8581
10160,8581
11284,8581
4488,9735
9725,9735
9728,9735
9730,9735
9731,9735
10225,9735
10281,9735
10283,9735
948,91361
11281,91361
10676,91361
11357,91361
11361,91361
36599,12326
39929,12326
41828,12326
41769,12326
10585,10455
11186,10455
11187,10455
609,10453
11133,10453
10306,10453
9552,12263
11586,12263
11587,12263
941,945
942,945
943,945
927,89151
928,89151
9342,1657
165,264
196,264
551,372257
17984,29447
22328,87232
3170,8725
242,23
29228,29714
11164,10709
12129,12087
14140,12087
11158,72119
9354,72119
9325,97459
10340,9746
10144,33085
10414,10709
10437,25638
12230,10069
10693,55422
11135,57971
11319,57971
14822,90348
15969,86027
15943,29452
19762,29447
2619,248126
97,63043
11675,91361
87,84
123,14129
10823,11523
11497,14091
2907,11716
15171,26319
11704,14129
4978,8783
10380,8783
11415,10278
37530,10278
8393,87805
11937,87805
21661,97445
39930,14376
10692,14376
805,264338
34584,9143
34636,9143
2182,47983
36647,735
431,432
2109,90863
9877,5276
1091,479888
4437,4438
11932,10455
9945,348843
4518,100286
3600,3601
12223,37438
14444,57129
1678,374509
39256,37451
1680,374509
244,135495
10730,1355
31947,1355
9749,104833
14628,10483
9626,43055
707,645
9336,9338
10157,9338
12118,9338
10587,9338
11825,9338
11895,9338
9447,9435
200,11557
1369,5039
1368,5039
1370,5039
10303,89264
9326,89264
10328,86307
11285,86307
1367,1575
1371,1575
1374,1575
1375,1575
1885,858
8856,858
10495,858
5825,108693
6917,340623
40729,34062
11815,12321
9426,109609
10344,10961
30497,11175
16337,11175
25018,11175
16780,11175
9671,9332
9396,9332
11873,38722
8224,387618
8913,10789
10906,10789
25748,11523
25749,11523
10671,33938
27932,33938
7227,33938
33518,12493
2362,166698
871,1709
1685,1709
1705,1709
1688,1709
1687,1709
29723,33938
31638,37226
9535,110127
796,52789
7341,257053
603,2344
564,1733
9460,20586
1893,1
15849,22154
18990,13897
29242,22154
29243,22154
31498,22154
29239,22154
1924,8537
8536,8537
9531,8537
11411,8537
138,221539
30793,22154
3103,218406
3035,218406
3077,218406
3074,218406
3076,259027
3079,12372
32023,22154
13666,25903
29794,17422
36685,28164
17918,87228
817,1006
37135,10677
2105,2806
10239,10407
10208,25638
2667,6475
9825,97768
620,298
2978,298
332,237445
147,185682
9710,135502
10766,10919
10768,10919
813,91663
2665,91663
11418,10869
11153,10869
11077,18085
28597,18085
850,201873
10366,10713
9349,10713
11037,12325
11955,12325
2038,123251
28737,12325
91893,1893
11601,14376
11797,98168
18086,98168
10975,14614
10974,14614
9638,4777
10576,11967
12662,11967
11230,12203
1654,124492
658,645
657,645
646,645
5689,59586
391,48317
772,9888
65448,38082
65452,38082
29064,12295
10496,3814
16162,2436
15247,89188
29251,39105
5548,5547
5549,5547
699,645
709,645
253,645
660,645
11377,24834
18111,98036
16281,10773
16288,10773
1694,98036
24831,21228
37853,39874
14035,48037
40771,48037
40772,48037
40773,48037
10228,34055
11663,20795
9264,48188
18222,48188
20565,95051
36643,645
863,10194
32669,35901
10402,95664
25188,13551
15515,32106
10137,99727
49948,55427
10471,43563
14919,4219
2005,103573
6279,103573
8872,8979
8873,8979
9869,192492
9367,9649
16562,11018
4234,2602
9605,338282
8374,87186
25934,3276
2787,2794
2069,103577
10839,93568
838,12495
11176,25638
11899,25638
9532,8864
13939,14377
14373,14377
24873,14377
26263,14377
34746,14377
1498,1582
1497,1582
1499,1582
11690,36694
11520,11905
990,387219
11478,8647
11356,22197
17339,36683
26879,33833
13665,17075
12309,46632
106,399
1359,86105
10557,15962
11977,10485
9456,9436
889,351684
452,498
39283,25648
65460,25648
55667,25648
12476,17586
16395,12728
5608,342009
10560,24684
5683,179244
14906,27167
9285,96679
955,87359
8584,59567
668,645
691,645
698,645
682,645
9600,44979
21,252313
10911,36683
26912,12373
26278,12373
26953,10795
26954,10795
26956,10795
26957,10795
26958,10795
26959,10795
26960,10795
23069,42483
21299,42483
38802,42483
21137,15767
36724,15767
938,48317
10648,10456
10246,10959
19698,10959
23919,10959
26554,26387
15239,32135
28165,32135
28169,32135
169,399
10128,17425
9659,8945
8810,8945
9355,8945
10068,1212
11495,20745
482,495
479,495
9873,171439
16820,17144
15379,46512
12764,46512
27352,46512
17897,32106
16094,1596
16096,1596
11822,17363
494,495
493,495
4247,4246
36657,748
12599,34055
11940,32106
12107,86028
9383,166376
15158,4777
16139,4777
16146,4777
26515,12326
13567,47391
20850,12325
8843,223564
10643,37451
37136,37139
37137,37139
11398,2541
1588,430186
12211,805
1698,8412
12212,5276
16,498
9003,8917
9064,8917
11569,8917
26484,33833
39113,33833
38126,12321
53617,33833
10973,22154
10787,2594
27475,13897
27764,13897
27767,13897
40760,13897
40446,13897
20455,39244
1597,51509
21142,24069
78140,24069
18498,44913
28605,44913
12207,12203
11531,6475
4327,86029
681,645
16340,57129
10481,12492
146,290973
